"","Team","Opposition","Status","Odds","line_Odds","Opp_Odds","Opp_lineOdds"
"1","Hawthorn","GWS","Home",1.33,-18.5,3.25,18.5
"2","Carlton","West Coast","Home",1.15,-34.5,5.5,34.5
"3","Collingwood","Richmond","Home",1.11,-37.5,6.5,37.5
"4","Port Adelaide","Adelaide","Home",3.75,22.5,1.27,-22.5
"5","North Melbourne","Essendon","Home",1.45,-13.5,2.75,13.5
"6","Fremantle","Gold Coast","Home",1.19,-28.5,4.75,28.5
"7","GWS","Hawthorn","Away",3.25,18.5,1.33,-18.5
"8","West Coast","Carlton","Away",5.5,34.5,1.15,-34.5
"9","Richmond","Collingwood","Away",6.5,37.5,1.11,-37.5
"10","Adelaide","Port Adelaide","Away",1.27,-22.5,3.75,22.5
"11","Essendon","North Melbourne","Away",2.75,13.5,1.45,-13.5
"12","Gold Coast","Fremantle","Away",4.75,28.5,1.19,-28.5
